詞性,日文單字,平假名 (羅馬拼音),中文意思,例文
名詞 (Nouns),調味料,ちょうみりょう (choumiryou),調味料,調味料は「さしすせそ」の順に入れます。
名詞 (Nouns),塩,しお (shio),鹽,スープに塩を少し足します。
名詞 (Nouns),砂糖,さとう (satou),砂糖、糖,コーヒーに砂糖は入れません。
名詞 (Nouns),醤油,しょうゆ (shouyu),醬油,刺身に醤油をつけます。
名詞 (Nouns),味噌,みそ (miso),味噌,味噌は大豆から作られます。
名詞 (Nouns),酢,す (su),醋,酢の物はさっぱりしています。
名詞 (Nouns),油,あぶら (abura),油,フライパンに油をひきます。
名詞 (Nouns),ごま油,ごまあぶら (gomaabura),麻油、香油,最後にごま油で香りをつけます。
名詞 (Nouns),オリーブオイル,オリーブオイル (oriibuoiru),橄欖油,サラダにオリーブオイルをかけます。
名詞 (Nouns),胡椒,こしょう (koshou),胡椒,塩と胡椒で味を調えます。
名詞 (Nouns),わさび,わさび (wasabi),山葵、哇沙米,寿司にわさびを少しつけます。
名詞 (Nouns),からし,からし (karashi),黃芥末,おでんにからしをつけます。
名詞 (Nouns),七味,しちみ (shichimi),七味粉,うどんに七味をかけます。
名詞 (Nouns),マヨネーズ,マヨネーズ (mayoneezu),美乃滋,ポテトサラダにマヨネーズを混ぜます。
名詞 (Nouns),ケチャップ,ケチャップ (kechappu),番茄醬,オムライスにケチャップをかけます。
名詞 (Nouns),ソース,ソース (soosu),醬汁（日式豬排醬）,フライにはソースをかけます。
名詞 (Nouns),ドレッシング,ドレッシング (doresshingu),沙拉醬,サラダのドレッシングを選んでください。
名詞 (Nouns),みりん,みりん (mirin),味醂,みりんを入れると味がよくなります。
名詞 (Nouns),出汁,だし (dashi),高湯（日式出汁）,昆布と鰹節で出汁を取ります。
名詞 (Nouns),ごま,ごま (goma),芝麻,ほうれん草のごま和えを作ります。
名詞 (Nouns),蜂蜜,はちみつ (hachimitsu),蜂蜜,パンに蜂蜜をぬって食べます。
名詞 (Nouns),ジャム,ジャム (jamu),果醬,いちごジャムを手作りしました。
名詞 (Nouns),味,あじ (aji),味道,この店の味は昔から変わりません。
い形容詞 (Adjectives),苦い,にがい (nigai),苦的,ブラックコーヒーは苦いです。
い形容詞 (Adjectives),酸っぱい,すっぱい (suppai),酸的,このレモンはとても酸っぱいです。
い形容詞 (Adjectives),薄い,うすい (usui),（味道）淡的,このスープは味が薄いです。
い形容詞 (Adjectives),濃い,こい (koi),（味道）濃的,濃い味の料理が好きです。
名詞 (Nouns),香り,かおり (kaori),香氣、香味,出汁のいい香りがします。
名詞 (Nouns),甘口,あまくち (amakuchi),甜味、不辣（口味）,子どもには甘口のカレーを作ります。
名詞 (Nouns),辛口,からくち (karakuchi),辣味、辛辣（口味）,父は辛口のカレーが好きです。
