詞性,日文單字,平假名 (羅馬拼音),中文意思,例文
名詞 (Nouns),水,みず (mizu),水、冷開水,冷たい水を一杯ください。
名詞 (Nouns),お湯,おゆ (oyu),熱水、開水,お湯をわかしてお茶をいれます。
名詞 (Nouns),牛乳,ぎゅうにゅう (gyuunyuu),牛奶,毎朝牛乳を一杯飲みます。
名詞 (Nouns),コーヒー,コーヒー (koohii),咖啡,食後にコーヒーはいかがですか。
名詞 (Nouns),紅茶,こうちゃ (koucha),紅茶,紅茶に砂糖を入れますか。
名詞 (Nouns),緑茶,りょくちゃ (ryokucha),綠茶,和菓子には緑茶が合います。
名詞 (Nouns),抹茶,まっちゃ (matcha),抹茶,京都で抹茶を飲みました。
名詞 (Nouns),麦茶,むぎちゃ (mugicha),麥茶,夏は冷たい麦茶をよく飲みます。
名詞 (Nouns),ウーロン茶,ウーロンちゃ (uuroncha),烏龍茶,油っこい料理にはウーロン茶がいいです。
名詞 (Nouns),ジュース,ジュース (juusu),果汁,子どもにりんごジュースを買いました。
名詞 (Nouns),コーラ,コーラ (koora),可樂,ハンバーガーにはコーラでしょう。
名詞 (Nouns),サイダー,サイダー (saidaa),汽水（日式透明汽水）,夏祭りでサイダーを飲みました。
名詞 (Nouns),炭酸水,たんさんすい (tansansui),氣泡水,レモン入りの炭酸水が好きです。
名詞 (Nouns),ミネラルウォーター,ミネラルウォーター (mineraruwootaa),礦泉水,コンビニでミネラルウォーターを買いました。
名詞 (Nouns),ココア,ココア (kokoa),可可亞、熱可可,寒い夜は温かいココアを飲みます。
名詞 (Nouns),ミルクティー,ミルクティー (mirukutii),奶茶,タピオカミルクティーが大好きです。
名詞 (Nouns),豆乳,とうにゅう (tounyuu),豆漿,牛乳の代わりに豆乳を使います。
名詞 (Nouns),お酒,おさけ (osake),酒,父はお酒に強いです。
名詞 (Nouns),日本酒,にほんしゅ (nihonshu),日本酒、清酒,刺身に日本酒はよく合います。
名詞 (Nouns),ビール,ビール (biiru),啤酒,仕事の後のビールは最高です。
名詞 (Nouns),ワイン,ワイン (wain),葡萄酒,チーズと赤ワインを楽しみます。
名詞 (Nouns),焼酎,しょうちゅう (shouchuu),燒酎（日式蒸餾酒）,九州は焼酎が有名です。
名詞 (Nouns),梅酒,うめしゅ (umeshu),梅酒,甘い梅酒は氷を入れて飲みます。
名詞 (Nouns),ウイスキー,ウイスキー (uisukii),威士忌,ウイスキーを水で割ります。
名詞 (Nouns),カクテル,カクテル (kakuteru),雞尾酒,バーでカクテルを注文しました。
名詞 (Nouns),乾杯,かんぱい (kanpai),乾杯,みんなでビールで乾杯しました。
名詞 (Nouns),氷,こおり (koori),冰、冰塊,ジュースに氷を入れてください。
名詞 (Nouns),ホット,ホット (hotto),熱的（飲品）,コーヒーはホットにしますか。
名詞 (Nouns),アイス,アイス (aisu),冰的（飲品）,暑いのでアイスコーヒーをください。
名詞 (Nouns),ストロー,ストロー (sutoroo),吸管,ストローで飲みます。
