詞性,日文單字,平假名 (羅馬拼音),中文意思,例文
名詞 (Nouns),肉,にく (niku),肉,私は魚より肉のほうが好きです。
名詞 (Nouns),牛肉,ぎゅうにく (gyuuniku),牛肉,牛肉ですき焼きを作ります。
名詞 (Nouns),豚肉,ぶたにく (butaniku),豬肉,豚肉を生姜と一緒に焼きます。
名詞 (Nouns),鶏肉,とりにく (toriniku),雞肉,鶏肉のスープは体にやさしいです。
名詞 (Nouns),ひき肉,ひきにく (hikiniku),絞肉,ひき肉で餃子を作ります。
名詞 (Nouns),ハム,ハム (hamu),火腿,サンドイッチにハムをはさみます。
名詞 (Nouns),ソーセージ,ソーセージ (sooseeji),香腸,朝ごはんにソーセージを焼きました。
名詞 (Nouns),ベーコン,ベーコン (beekon),培根,ベーコンとレタスのサラダです。
名詞 (Nouns),ステーキ,ステーキ (suteeki),牛排,誕生日にステーキを食べました。
名詞 (Nouns),焼肉,やきにく (yakiniku),燒肉、烤肉,週末に家族で焼肉に行きます。
名詞 (Nouns),とんかつ,とんかつ (tonkatsu),炸豬排,とんかつにソースをかけます。
名詞 (Nouns),唐揚げ,からあげ (karaage),日式炸雞,唐揚げはお弁当の人気メニューです。
名詞 (Nouns),ハンバーグ,ハンバーグ (hanbaagu),漢堡排,子どもの好きな料理はハンバーグです。
名詞 (Nouns),レバー,レバー (rebaa),肝（內臟）,レバーは鉄分が多いです。
名詞 (Nouns),手羽先,てばさき (tebasaki),雞翅,名古屋の手羽先は有名です。
名詞 (Nouns),ミートボール,ミートボール (miitobooru),肉丸,ミートボールをトマトソースで煮ます。
名詞 (Nouns),卵,たまご (tamago),蛋、雞蛋,卵を三つ買ってきてください。
名詞 (Nouns),ゆで卵,ゆでたまご (yudetamago),水煮蛋,サラダにゆで卵をのせます。
名詞 (Nouns),目玉焼き,めだまやき (medamayaki),荷包蛋、煎蛋,朝は目玉焼きとご飯です。
名詞 (Nouns),卵焼き,たまごやき (tamagoyaki),日式煎蛋捲,甘い卵焼きが大好きです。
名詞 (Nouns),生卵,なまたまご (namatamago),生雞蛋,生卵をご飯にかけて食べます。
名詞 (Nouns),温泉卵,おんせんたまご (onsentamago),溫泉蛋,うどんに温泉卵をのせました。
名詞 (Nouns),チーズ,チーズ (chiizu),起司、乳酪,ピザにチーズをたっぷりかけます。
名詞 (Nouns),バター,バター (bataa),奶油（黃油）,パンにバターをぬります。
名詞 (Nouns),ヨーグルト,ヨーグルト (yooguruto),優格,毎朝ヨーグルトを食べます。
名詞 (Nouns),生クリーム,なまクリーム (namakuriimu),鮮奶油,ケーキに生クリームを飾ります。
名詞 (Nouns),乳製品,にゅうせいひん (nyuuseihin),乳製品,乳製品が苦手な人もいます。
