詞性,日文單字,平假名 (羅馬拼音),中文意思
句型 (Phrases),すみません、注文をお願いします。,すみません、ちゅうもんをおねがいします (sumimasen chuumon o onegaishimasu),不好意思，我要點餐。
句型 (Phrases),メニューをください。,メニューをください (menyuu o kudasai),請給我菜單。
句型 (Phrases),おすすめは何ですか。,おすすめはなんですか (osusume wa nan desu ka),有什麼推薦的嗎？
句型 (Phrases),これをください。,これをください (kore o kudasai),請給我這個。
句型 (Phrases),これを二つお願いします。,これをふたつおねがいします (kore o futatsu onegaishimasu),這個請給我兩份。
句型 (Phrases),とりあえず生ビールをください。,とりあえずなまビールをください (toriaezu namabiiru o kudasai),先來一杯生啤酒。
句型 (Phrases),お水をもらえますか。,おみずをもらえますか (omizu o moraemasu ka),可以給我水嗎？
句型 (Phrases),持ち帰りでお願いします。,もちかえりでおねがいします (mochikaeri de onegaishimasu),請幫我外帶。
句型 (Phrases),店内で食べます。,てんないでたべます (tennai de tabemasu),我要內用。
句型 (Phrases),予約していませんが、席はありますか。,よやくしていませんが、せきはありますか (yoyaku shite imasen ga seki wa arimasu ka),我沒有預約，請問有位子嗎？
句型 (Phrases),二人です。,ふたりです (futari desu),兩位。
句型 (Phrases),禁煙席をお願いします。,きんえんせきをおねがいします (kin'enseki o onegaishimasu),請給我禁菸的座位。
句型 (Phrases),これは何の料理ですか。,これはなんのりょうりですか (kore wa nan no ryouri desu ka),這是什麼料理？
句型 (Phrases),辛くしないでください。,からくしないでください (karaku shinaide kudasai),請不要做太辣。
句型 (Phrases),卵アレルギーがあります。,たまごアレルギーがあります (tamago arerugii ga arimasu),我對蛋過敏。
句型 (Phrases),お会計をお願いします。,おかいけいをおねがいします (okaikei o onegaishimasu),麻煩結帳。
句型 (Phrases),別々にお願いします。,べつべつにおねがいします (betsubetsu ni onegaishimasu),請分開結帳。
句型 (Phrases),カードで払えますか。,カードではらえますか (kaado de haraemasu ka),可以刷卡嗎？
句型 (Phrases),いただきます。,いただきます (itadakimasu),開動了。
句型 (Phrases),ごちそうさまでした。,ごちそうさまでした (gochisousama deshita),多謝款待、我吃飽了。
句型 (Phrases),とても美味しかったです。,とてもおいしかったです (totemo oishikatta desu),非常好吃。
句型 (Phrases),ご飯のお代わりをください。,ごはんのおかわりをください (gohan no okawari o kudasai),請再給我一碗飯。
