詞性,日文單字,平假名 (羅馬拼音),中文意思,例文
名詞 (Nouns),料理,りょうり (ryouri),料理、菜餚,母の料理は世界一だと思います。
名詞 (Nouns),和食,わしょく (washoku),日本料理、和食,和食は健康にいいと言われています。
名詞 (Nouns),洋食,ようしょく (youshoku),西餐、洋食,洋食の店でオムライスを食べました。
名詞 (Nouns),中華料理,ちゅうかりょうり (chuukaryouri),中華料理、中國菜,中華料理の店で餃子を注文しました。
名詞 (Nouns),お弁当,おべんとう (obentou),便當,毎朝お弁当を作って会社に行きます。
名詞 (Nouns),おにぎり,おにぎり (onigiri),飯糰,遠足におにぎりを持って行きます。
名詞 (Nouns),チャーハン,チャーハン (chaahan),炒飯,残りご飯でチャーハンを作ります。
名詞 (Nouns),オムライス,オムライス (omuraisu),蛋包飯,卵がふわふわのオムライスです。
名詞 (Nouns),餃子,ぎょうざ (gyouza),煎餃、餃子,餃子を五十個も作りました。
名詞 (Nouns),シチュー,シチュー (shichuu),（奶油）燉菜,寒い日はクリームシチューが食べたいです。
名詞 (Nouns),スープ,スープ (suupu),湯（西式）,野菜たっぷりのスープを作りました。
名詞 (Nouns),サラダ,サラダ (sarada),沙拉,朝はまずサラダを食べます。
名詞 (Nouns),サンドイッチ,サンドイッチ (sandoicchi),三明治,公園でサンドイッチを食べました。
名詞 (Nouns),ピザ,ピザ (piza),披薩,週末にピザを注文しました。
名詞 (Nouns),パスタ,パスタ (pasuta),義大利麵,昼はトマトのパスタにしました。
名詞 (Nouns),すき焼き,すきやき (sukiyaki),壽喜燒,すき焼きは卵につけて食べます。
名詞 (Nouns),しゃぶしゃぶ,しゃぶしゃぶ (shabushabu),涮涮鍋,しゃぶしゃぶの肉はとても薄いです。
名詞 (Nouns),お好み焼き,おこのみやき (okonomiyaki),大阪燒、什錦燒,大阪でお好み焼きを食べました。
名詞 (Nouns),たこ焼き,たこやき (takoyaki),章魚燒,たこ焼きを家で作りました。
名詞 (Nouns),鍋,なべ (nabe),火鍋；鍋子,冬は家族で鍋を囲みます。
名詞 (Nouns),おでん,おでん (oden),關東煮,コンビニのおでんもおいしいです。
名詞 (Nouns),牛丼,ぎゅうどん (gyuudon),牛丼、牛肉蓋飯,牛丼を大盛りで注文しました。
名詞 (Nouns),親子丼,おやこどん (oyakodon),親子丼（雞肉雞蛋蓋飯）,親子丼は鶏肉と卵の丼です。
名詞 (Nouns),豆腐,とうふ (toufu),豆腐,味噌汁に豆腐を入れます。
名詞 (Nouns),納豆,なっとう (nattou),納豆,納豆は朝ごはんの定番です。
名詞 (Nouns),漬物,つけもの (tsukemono),醬菜、醃菜,定食に漬物が付いています。
名詞 (Nouns),梅干し,うめぼし (umeboshi),醃梅、梅乾,おにぎりの中は梅干しです。
動詞 (Verbs),作る,つくる (tsukuru),做、製作,今晩は私が晩ご飯を作ります。
動詞 (Verbs),切る,きる (kiru),切,野菜を小さく切ってください。
動詞 (Verbs),焼く,やく (yaku),烤、煎,魚を強火で焼きます。
動詞 (Verbs),煮る,にる (niru),燉、煮,大根をやわらかく煮ます。
動詞 (Verbs),揚げる,あげる (ageru),炸,天ぷらをからっと揚げます。
動詞 (Verbs),炒める,いためる (itameru),炒,野菜を強火でさっと炒めます。
動詞 (Verbs),茹でる,ゆでる (yuderu),汆燙、水煮,パスタを八分茹でます。
動詞 (Verbs),蒸す,むす (musu),蒸,肉まんを蒸して食べます。
動詞 (Verbs),混ぜる,まぜる (mazeru),攪拌、混合,卵と砂糖をよく混ぜます。
動詞 (Verbs),温める,あたためる (atatameru),加熱、弄熱,冷めたスープを温めます。
