詞性,日文單字,平假名 (羅馬拼音),中文意思,例文
名詞 (Nouns),果物,くだもの (kudamono),水果,食後に果物を食べます。
名詞 (Nouns),りんご,りんご (ringo),蘋果,青森はりんごで有名です。
名詞 (Nouns),みかん,みかん (mikan),橘子、蜜柑,こたつでみかんを食べます。
名詞 (Nouns),バナナ,バナナ (banana),香蕉,朝ごはんはバナナだけです。
名詞 (Nouns),いちご,いちご (ichigo),草莓,いちごのケーキを買いました。
名詞 (Nouns),ぶどう,ぶどう (budou),葡萄,秋はぶどう狩りに行きます。
名詞 (Nouns),桃,もも (momo),桃子,桃の皮をむいて食べます。
名詞 (Nouns),梨,なし (nashi),梨子（日本水梨）,日本の梨は甘くて水分が多いです。
名詞 (Nouns),柿,かき (kaki),柿子,庭の柿が赤くなりました。
名詞 (Nouns),すいか,すいか (suika),西瓜,夏は冷たいすいかが一番です。
名詞 (Nouns),メロン,メロン (meron),哈密瓜,メロンは高い果物です。
名詞 (Nouns),レモン,レモン (remon),檸檬,紅茶にレモンを入れます。
名詞 (Nouns),オレンジ,オレンジ (orenji),柳橙,オレンジを半分に切ります。
名詞 (Nouns),パイナップル,パイナップル (painappuru),鳳梨,パイナップルは台湾の名産です。
名詞 (Nouns),キウイ,キウイ (kiui),奇異果,キウイはビタミンが多いです。
名詞 (Nouns),さくらんぼ,さくらんぼ (sakuranbo),櫻桃,山形のさくらんぼは有名です。
名詞 (Nouns),栗,くり (kuri),栗子,秋に栗ご飯を作ります。
名詞 (Nouns),梅,うめ (ume),梅子,梅の実で梅酒を作ります。
名詞 (Nouns),グレープフルーツ,グレープフルーツ (gureepufuruutsu),葡萄柚,グレープフルーツは少し苦いです。
名詞 (Nouns),マンゴー,マンゴー (mangoo),芒果,マンゴーかき氷が大人気です。
名詞 (Nouns),柚子,ゆず (yuzu),柚子（日本香橙）,冬に柚子茶を飲みます。
名詞 (Nouns),アボカド,アボカド (abokado),酪梨,アボカドをサラダに入れます。
名詞 (Nouns),ブルーベリー,ブルーベリー (buruuberii),藍莓,ヨーグルトにブルーベリーをのせます。
名詞 (Nouns),ライチ,ライチ (raichi),荔枝,ライチは甘くてみずみずしいです。
名詞 (Nouns),無花果,いちじく (ichijiku),無花果,無花果のジャムを作りました。
名詞 (Nouns),杏,あんず (anzu),杏桃,杏のジャムはパンに合います。
